CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,3.7293
Cc1c(Cl)cccc1Nc1ncccc1C(=O)OCC(O)CO,2.297
Cn1cnc2c1c(=O)n(CC(O)CO)c(=O)n2C,-2.2131
CC1Oc2ccc(Cl)cc2N(CC(O)CO)C1=O,0.8071
CCOC(=O)c1cncn1C1CCCc2ccccc21,2.9855
COc1ccccc1OC(=O)Oc1ccccc1OC,3.2816
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,3.1013
CN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,3.1256
CCC(=O)c1ccc(OCC(O)CO)c(OC)c1,1.0199
Cc1nc2c([nH]1)c(=O)n(C)c(=O)n2CC1CC=CCC1,1.088
COc1cc2c(cc1O)N=CC1CCC(O)N1C2=O,1.0397
COc1c(C)cnc(CS(=O)c2nc3ccccc3[nH]2)c1C,2.8911
COc1cc(C)c(Cc2cnc(N)nc2N)cc1OC,1.5574
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,2.4479
CC1CC(OC(=O)CN2CCCC2=O)CC(C)(C)C1,2.3668
O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,2.5349
COC(=O)c1c[nH]c2cc(OC(C)C)c(OC(C)C)cc2c1=O,2.8891
CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1,0.8788
CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,2.4722
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,3.1243
COc1cc(C(=O)N2CCOCC2)cc(OC)c1OC,1.1848
CC(c1ncncc1F)C(O)(Cn1cncn1)c1ccc(F)cc1F,2.1769
COc1ccc(C=C2CCCN=C2c2cccnc2)c(OC)c1,3.7653
CC(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(C)=O)cc2)cc1,2.4362
CC(=O)Oc1cc(C)c(OC(C)=O)c2ccccc12,2.9988
CC(=O)Oc1cccc(OC(C)=O)c1OC(C)=O,1.4625
CC1(C)C(=O)Nc2cc3nc(-c4ccncc4)[nH]c3cc21,2.8546
CC(C)C=c1[nH]c(=O)c(=Cc2ccccc2)[nH]c1=O,0.3285
NC(=O)Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,1.5922
CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,2.9288
CNC(=O)Oc1ccccc1C(=O)Nc1ccccc1,2.6571
COc1ccc(-c2nnc(C)nc2-c2ccc(OC)cc2)cc1,3.5312
Nc1ncnc2c1ncn2Cc1c(F)cccc1Cl,2.2493
Clc1ccc(C2(Cn3cncn3)OCCO2)c(Cl)c1,2.4847
Cc1cc(Cc2cnc(N)nc2N)c2cccnc2c1N(C)C,2.1544
NS(=O)(=O)c1ccc(NCc2ccccc2)cc1,1.9461
CC1(C)C=C(n2ccccc2=O)c2cc(C#N)ccc2O1,2.7802
O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,2.6336
CN(CCO)c1nc2c(c(=O)n(C)c(=O)n2C)n1C,-1.6008
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,2.0796
CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,3.3712
NS(=O)(=O)c1cc2c(cc1Cl)CN(C1CCCCC1)C2=O,2.2759
CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl,3.7777
CC1(C)Oc2ccc(C#N)cc2C(N2CCCC2=O)C1O,1.7537
